Date;Open*;High;Low;Close**;Volume;Market Cap
Oct 27, 2020;€ 0.88;€ 0.94;€ 0.87;€ 0.91;€1,633,227;€47,199,594
Oct 26, 2020;€ 0.88;€ 0.96;€ 0.87;€ 0.88;€1,917,323;€45,774,253
Oct 25, 2020;€ 0.87;€ 0.89;€ 0.83;€ 0.88;€414,350;€45,563,633
Oct 24, 2020;€ 0.89;€ 0.90;€ 0.86;€ 0.87;€164,888;€45,064,802
Oct 23, 2020;€ 0.95;€ 0.96;€ 0.87;€ 0.90;€1,533,018;€46,111,027
Oct 22, 2020;€ 0.94;€ 0.98;€ 0.91;€ 0.95;€1,506,152;€48,730,276
Oct 21, 2020;€ 0.91;€ 0.96;€ 0.91;€ 0.94;€1,306,344;€47,935,768
Oct 20, 2020;€ 0.99;€ 1.00;€ 0.91;€ 0.92;€1,567,524;€47,009,827
Oct 19, 2020;€ 1.07;€ 1.07;€ 0.99;€ 0.99;€1,812,358;€50,441,929
Oct 18, 2020;€ 1.01;€ 1.07;€ 1.00;€ 1.07;€1,912,085;€54,163,115
Oct 17, 2020;€ 1.00;€ 1.04;€ 0.97;€ 1.00;€1,787,975;€50,816,521
Oct 16, 2020;€ 1.13;€ 1.13;€ 0.98;€ 1.00;€1,900,636;€50,416,010
Oct 15, 2020;€ 1.15;€ 1.17;€ 1.13;€ 1.13;€2,066,836;€57,129,696
Oct 14, 2020;€ 1.15;€ 1.16;€ 1.11;€ 1.14;€1,975,379;€57,670,997
Oct 13, 2020;€ 1.14;€ 1.17;€ 1.10;€ 1.14;€2,044,380;€57,173,171
Oct 12, 2020;€ 1.17;€ 1.20;€ 1.10;€ 1.18;€2,177,220;€59,078,224
Oct 11, 2020;€ 1.23;€ 1.24;€ 1.14;€ 1.15;€2,325,146;€57,581,122
Oct 10, 2020;€ 1.09;€ 1.28;€ 1.08;€ 1.23;€2,762,303;€61,262,910
Oct 09, 2020;€ 1.12;€ 1.14;€ 1.07;€ 1.09;€2,118,129;€53,971,396
Oct 08, 2020;€ 1.02;€ 1.11;€ 0.94;€ 1.10;€2,543,418;€54,419,552
Oct 07, 2020;€ 0.85;€ 1.07;€ 0.84;€ 1.02;€2,823,644;€50,654,694
Oct 06, 2020;€ 1.05;€ 1.08;€ 0.84;€ 0.85;€2,148,962;€41,824,170
Oct 05, 2020;€ 1.17;€ 1.19;€ 1.04;€ 1.07;€2,288,639;€52,493,724
Oct 04, 2020;€ 1.25;€ 1.26;€ 1.14;€ 1.17;€2,180,127;€57,317,503
Oct 03, 2020;€ 1.30;€ 1.36;€ 1.25;€ 1.25;€2,252,229;€61,096,442
Oct 02, 2020;€ 1.31;€ 1.31;€ 1.25;€ 1.30;€2,614,376;€63,325,328
Oct 01, 2020;€ 1.34;€ 1.46;€ 1.25;€ 1.33;€2,835,339;€64,475,084
Sep 30, 2020;€ 1.40;€ 1.41;€ 1.30;€ 1.34;€2,187,132;€64,769,412
Sep 29, 2020;€ 1.42;€ 1.47;€ 1.29;€ 1.40;€3,215,328;€67,913,280
Sep 28, 2020;€ 1.32;€ 1.69;€ 1.32;€ 1.43;€7,682,338;€62,079,181
Sep 27, 2020;€ 1.53;€ 1.54;€ 1.32;€ 1.32;€2,811,214;€57,274,356
Sep 26, 2020;€ 1.62;€ 1.65;€ 1.52;€ 1.54;€4,342,566;€66,859,861
Sep 25, 2020;€ 1.95;€ 1.97;€ 1.61;€ 1.62;€6,319,000;€70,431,159
Sep 24, 2020;€ 1.56;€ 3.10;€ 1.55;€ 1.95;€30,900,252;€84,915,874
Sep 23, 2020;€ 1.48;€ 1.56;€ 1.45;€ 1.55;€1,632,987;€67,552,647
Sep 22, 2020;€ 1.48;€ 1.49;€ 1.40;€ 1.43;€534,043;€62,118,438
Sep 21, 2020;€ 1.45;€ 1.55;€ 1.44;€ 1.47;€734,630;€63,801,643
Sep 20, 2020;€ 1.45;€ 1.52;€ 1.44;€ 1.45;€619,371;€63,235,028
Sep 19, 2020;€ 1.42;€ 1.54;€ 1.41;€ 1.45;€702,827;€63,038,132
Sep 18, 2020;€ 1.46;€ 1.51;€ 1.38;€ 1.42;€686,342;€61,639,302
Sep 17, 2020;€ 1.36;€ 1.51;€ 1.23;€ 1.47;€642,639;€63,890,245
Sep 16, 2020;€ 1.12;€ 1.50;€ 1.07;€ 1.36;€1,507,260;€59,018,708
Sep 15, 2020;€ 1.17;€ 1.17;€ 1.02;€ 1.11;€440,747;€48,473,897
Sep 14, 2020;€ 1.08;€ 1.20;€ 0.97;€ 1.17;€497,080;€51,114,875
Sep 13, 2020;€ 1.09;€ 1.10;€ 0.96;€ 1.08;€478,772;€47,028,782
Sep 12, 2020;€ 1.06;€ 1.15;€ 1.03;€ 1.09;€424,123;€47,278,594
Sep 11, 2020;€ 1.11;€ 1.21;€ 1.02;€ 1.06;€367,499;€46,074,032
Sep 10, 2020;€ 1.07;€ 1.22;€ 1.05;€ 1.11;€530,319;€48,383,017
Sep 09, 2020;€ 1.14;€ 1.15;€ 1.03;€ 1.07;€351,077;€ 0
